,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,CASA BAHÍA AZUL. ARQ. CECILIA PUGA,Alojamiento vacacional entero,Los Vilos,Coquimbo Region,10,8,4, Habitación,3,privado,185.0,-31.99928,-71.52174,"https://maps.google.com/maps?ll=-31.99928,-71.52174&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en borde mar. Espectacular vista. 206 m2 construidos. Arquitectura moderna. 
Capacidad 10 personas (2 camas matrimoniales, 2 camas de plaza y media, 4 camas de una plaza), 3 baños. Gran living. Comedor-cocina. Terraza. 
Pozón natural en las rocas. 
Alojamiento bueno para parejas, aventureros, viajeros de negocios, familias (con hijos) y grupos de amigos.

Lugares de interés: Playa Pichidangui (skysurf y buceo) Los Vilos, Bodegón Cultural, Cerámica de Guangualí, Playas cercanas.


Casa ubicada en condominio consolidado con árboles y jardines crecidos.
Sin embargo, la crítica escasez hídrica en la región ha obligado a ser muy responsables con el uso del agua y del riego, privilegiando el agua para el uso de la casa.","['Acceso a la playa', 'Frente a la playa']",4.74,93,Barbara,01-2016,https://www.airbnb.cl/rooms/13699585?adults=1&children=0&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
1,Espectacular casa con una vista inolvidable,Alojamiento entero,Los Vilos,Coquimbo,9,10,3, Habitación,"2,5",privado,170.0,-31.97075,-71.49128,"https://maps.google.com/maps?ll=-31.97075,-71.49128&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"La casa tiene una vista espectacular, con bajada a la playa donde se encuentra una piscina de agua de mar.

El espacio
La casa tiene tv con directv, wifi, y en el
Patio trasero tiene una zona de juego para los niños y un columpio con la mejor vista al
Mar de la zona.",['Acceso a la playa'],4.88,25,Maria Jose,08-2016,https://www.airbnb.cl/rooms/48262071?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
2,Casa Familia Vista 360° Piscina Condom. Ensenada,Cabaña entero,Los Vilos,Región Metropolitana,8,4,4, Habitación,3,privado,150.0,-32.00303,-71.51988,"https://maps.google.com/maps?ll=-32.00303,-71.51988&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate con toda la familia en este tranquilo lugar para quedarse. 
Condom. Ensenada
Casa  140 M2.  hermosas vistas panorámicas en 360°.
Se desarrolla en 4 niveles; Nivel Dormit. principal, Nivel casa, Nivel deck piscina, Nivel de Acceso vehicular.  Rodeada de  amplias terrazas con barandas vidriadas.
Habilitada para 8 personas , Cocina integrada, espacios  de gran altura. Piscina incorporada a medio nivel de terraza principal. Acceso a playita interior del condominio a 650 mts. desde la casa .


Casa construida sobre roca, rodeada de terrazas con vista al mar, piscina en deck de madera, medio nivel bajo nivel de la casa.  Estar - Comedor y Cocina integrados en un solo espacio con vista al mar al igual que todos los dormitorios. Ventanas termo panel de PVC. excelente  aislación.",['Acceso a la playa'],,,Victor Hugo,01-2023,https://www.airbnb.cl/rooms/808713835019164326?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
3,Casa amoblada con vista al mar a 200m de la playa,Alojamiento entero,Choapa,Coquimbo,4,3,3, Habitación,1,privado,47.0,-31.90794,-71.5018,"https://maps.google.com/maps?ll=-31.90794,-71.5018&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"linda casa de madera, amoblada, con un amplio living-comedor con vigas a la vista e iluminado por amplios ventanales, 3 dormitorios amplios, con patio trasero y antejardín con pasto, árboles frutales y una hermosa terraza con vista al mar. 
Apta Para 4-5 personas ya que cuenta con 3 camas, más una extra opcional de ser necesaria.
Ubicada en una exelente localización, barrio recidencial de Los Vilos, cercana a supermercados, negocios y con la playa a solo 200 metros",['Acceso a la playa'],4.56,18,Camilo,10-2022,https://www.airbnb.cl/rooms/732757775890214729?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
4,Casa primera linea 8 Quebradas vista sobrecogedora,Casa de campo entero,Los Vilos,Coquimbo,8,6,3, Habitación,"2,5",privado,162.0,-31.96628,-71.4912,"https://maps.google.com/maps?ll=-31.96628,-71.4912&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de un lugar único a solo 2,5 horas de Santiago. Casa moderna recién construida, en primera línea frente al mar. Bajada directa a playa de piedras (no apta para baño). Sobrecogedora vista.
Playas a 15-20 minutos en los alrededores, Pichidangui, Los Vilos,  Chigualoco.
Ideal para desconectarse unos días, paseos, caminatas frente a la costa, playas cercanas, 5 km del pueblo de Los Vilos donde podrá encontrar todo tipo de servicios, restoranes, caleta de pescadores, cafetería.


Tres dormitorios, dos en cama matrimonial, más una tercera pieza con 4 camas (camarote + cama con cama nido).

Terraza trasera y frontal, parrilla para asados.

Cafetera Nespresso.

Cocina full equipada.",['Acceso a la playa'],4.80,25,Felipe,12-2013,https://www.airbnb.cl/rooms/53782493?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
5,Casa en condominio Ensenada a pasos de la playa.,Alojamiento vacacional entero,Los Vilos,Coquimbo,8,8,3, Habitación,3,privado,149.0,-32.17368,-71.52117,"https://maps.google.com/maps?ll=-32.17368,-71.52117&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermosa casa en condominio con acceso directo a la playa Ensenada ubicada entre Pichidangui y Los Vilos. Ideal para relajarse y descansar rodeado de naturaleza.  Agradable quincho techado.

La casa tiene 3 dormitorios y 3 baños. Dos de los dormitorios  cuentan con cama king y baño en suite. El tercer dormitorio posee 2 camas nido más un camarote. Hay camas para 8 personas. Cocina completamente equipada. Quincho, disco y fogón disponibles.

La casa cuenta con PISCINA NATURAL",['Vista al patio'],4.80,10,Constanza,01-2020,https://www.airbnb.cl/rooms/676084455629461439?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
6,Hermosa Casa Frente al Mar,Alojamiento entero,Los Vilos,Coquimbo Region,8,7,5, Habitación,3,privado,185.0,-31.97269,-71.49579,"https://maps.google.com/maps?ll=-31.97269,-71.49579&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Maravillosa casa con amplia terraza sobre acantilado con vista directa al mar. Playa privada y dos hermosos miradores en diferentes niveles. La casa de dos pisos tiene estufa a leña, estufas electricas y parrilla para asados. Se encuentra en Cascabeles Sur entre la hermosa playa de Pichidangui y Los Vilos. La casa esta rodeada de naturaleza autóctona y un ambiente rústico.

Wonderful house on a cliff with a terrace in front of the pacific ocean (breathtaking view). Private pebble beach.


POR FAVOR ANTES DE RESERVAR LES QUEREMOS AVISAR QUE DEBIDO A LA ESCASES DE AGUA EN EL SECTOR NO NOS ES IMPOSIBLE PROVEER EL SERVICIO DE SÁBANAS YA QUE ESTAS NO SE PUEDEN LAVAR. EL AGUA ES PARA EL USO DE LOS HUÉSPEDES SOLAMENTE. 

MIL DISCULPAS POR EL INCONVENIENTE, ESTO ES MOMENTANEO HASTA QUE MEJORE LA SITUACIÓN.

LOS TAMAÑOS DE LAS CAMAS PARA LLEVAR SUS SÁBANAS SON LOS SIGUIENTES:

- 2 camas tamaño King
- 1 camas tamaño Queen
- 1 cama de dos plazas
- 3 camas de una plaza",['Acceso la playa Privado'],4.83,87,Erica,04-2017,https://www.airbnb.cl/rooms/18286353?adults=1&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
7,"Casa de Playa, Ensenada (Totoralillo), amplia vista al mar, playa privada condominio",Cabaña entero,Los Vilos,Coquimbo,6,4,3, Habitación,2,privado,175.0,-32.00269,-71.51799,"https://maps.google.com/maps?ll=-32.00269,-71.51799&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Amplia casa de playa, ubicada en Ensenada, en la bahía de Totoralillo.
Emplazada en altura, posee vista panorámica al mar desde todas sus habitaciones, living, comedor y terraza. Además, cuenta con piscina propia.
Es parte de un condominio con acceso remoto, un entorno muy tranquilo y una linda playa privada.
A 213km de Santiago, por la ruta 5, cerca de Pichidangui, Valle Quilimarí, Los Vilos, Chigualoco y Huentelauquén. Gastronomía criolla del mar, paseos, deportes náuticos... Imperdible!


Habitaciones con techos de 3 metros de altura, otorgan una cómoda sensación de amplitud. Revestidas en madera, con un suave albayalde en tono claro.
Todas sus ventanas son termopanel y permiten un ambiente seco dentro de la casa.",['Vista a la bahía'],4.75,12,Nicolás,12-2015,https://www.airbnb.cl/rooms/51729708?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
8,casa para 6 personas,Alojamiento entero,Los Vilos,Coquimbo,6,4,3, Habitación,2,privado,75.0,-31.91975,-71.51227,"https://maps.google.com/maps?ll=-31.91975,-71.51227&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Amplia casa cercana a servicios basicos, a tres cuadras de la orilla del mar ubicada en el balneario de los vilos, acojedoras habitaciones, mobiliario completamente nuevo, amplios baños, cocina totalmente remodelada.

Número de permiso
56986535336",['Cocina'],,,Dante,01-2023,https://www.airbnb.cl/rooms/826123931340788365?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
9,"Cabaña frente al Mar, Cond. Ensenada ( Los vilos)",Cabaña entero,Los Vilos,Región de Coquimbo,6,4,3, Habitación,2,privado,175.75,-32.00821,-71.51709,"https://maps.google.com/maps?ll=-32.00821,-71.51709&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña frente al Mar, con una vista maravillosa. Ideal para descansar y relajarse, cuenta con todo tipo de comodidades. Cerca de Pichidangui y Los Vilos, aproximadamente 13 km de ambas.
Amoblado al 100%.Calefacción a leña, Todos los dormitorios con TV ( cable), camas con plumones, Piscina,Juegos infantiles,Terraza con Quincho frente al mar, Playa privada a 100 metros.


Lugar para relajarse frente al mar. En una casa con todas las comodidades que imagines. Muy acogedor",['Vista al océano'],4.96,56,Daniela,06-2017,https://www.airbnb.cl/rooms/19196171?adults=1&children=0&infants=0&pets=0&check_in=2023-03-08&check_out=2023-03-15&previous_page_section_name=1000&federated_search_id=5067bf27-0edd-444a-a47b-7fb1d8045df2
